T_inst E_tot P Z
0.144875 -6.40797 -4.83399 -39.2548
0.144816 -6.40767 -4.83234 -39.2573
0.144756 -6.40766 -4.83092 -39.2622
0.144696 -6.40716 -4.82842 -39.2582
0.14464 -6.40665 -4.82568 -39.251
0.14459 -6.40607 -4.82264 -39.2398
0.144549 -6.40567 -4.81975 -39.2275
0.144519 -6.40524 -4.81675 -39.2113
0.144499 -6.40433 -4.8129 -39.1851
0.144492 -6.40371 -4.80958 -39.1602
0.144495 -6.40306 -4.8063 -39.1326
0.144509 -6.40245 -4.80324 -39.1039
0.144533 -6.40158 -4.79993 -39.0704
0.144567 -6.40082 -4.79706 -39.0379
0.144611 -6.40008 -4.79451 -39.0053
0.144664 -6.39959 -4.79273 -38.9767
0.144724 -6.39909 -4.7913 -38.9489
0.144792 -6.39873 -4.79052 -38.9242
0.144868 -6.39866 -4.79067 -38.9049
0.144951 -6.39858 -4.79125 -38.8873
0.145037 -6.39843 -4.79216 -38.8718
0.145122 -6.39847 -4.79383 -38.8624
0.145205 -6.39859 -4.79607 -38.8583
0.145283 -6.3986 -4.79849 -38.857
0.150345 -6.39153 -4.79764 -37.5422
0.150377 -6.39217 -4.80147 -37.5642
0.150394 -6.39277 -4.80528 -37.5897
0.150396 -6.39351 -4.80928 -37.6206
0.150383 -6.39407 -4.81286 -37.6517
0.150358 -6.39474 -4.81646 -37.6863
0.150319 -6.39532 -4.81966 -37.721
0.150272 -6.3957 -4.82226 -37.7533
0.150219 -6.39599 -4.82441 -37.7833
0.150165 -6.39611 -4.82596 -37.809
0.150113 -6.39627 -4.82724 -37.8322
0.150066 -6.39625 -4.82793 -37.8495
0.150025 -6.39631 -4.82847 -37.864
0.149991 -6.39655 -4.82906 -37.8774
0.149962 -6.39667 -4.82919 -37.8856
0.149939 -6.39665 -4.82886 -37.889
0.14992 -6.39656 -4.8282 -37.8884
0.149906 -6.39644 -4.8273 -37.885
0.149894 -6.39601 -4.8257 -37.8755
0.149884 -6.39572 -4.82417 -37.8658
0.149877 -6.39558 -4.82274 -37.8565
0.149872 -6.39532 -4.82098 -37.8438
0.149871 -6.39517 -4.81928 -37.831
0.149871 -6.39494 -4.81737 -37.8157
0.149874 -6.39469 -4.81535 -37.7991
0.149878 -6.39438 -4.81318 -37.7811
0.149884 -6.39426 -4.81128 -37.7649
0.14989 -6.39416 -4.8094 -37.7486
0.149896 -6.39407 -4.80753 -37.7324
0.149901 -6.39408 -4.80582 -37.7177
0.149904 -6.39399 -4.80394 -37.702
0.149907 -6.39385 -4.80197 -37.686
0.149907 -6.39356 -4.79977 -37.6686
0.149907 -6.39351 -4.79801 -37.6548
0.149907 -6.39352 -4.79638 -37.6421
0.149908 -6.39348 -4.79469 -37.6286
0.14991 -6.39334 -4.79291 -37.6141
0.149913 -6.39328 -4.79134 -37.601
0.149919 -6.39328 -4.78996 -37.5887
0.149928 -6.39287 -4.78801 -37.5711
0.14994 -6.39267 -4.78652 -37.5564
0.149954 -6.39252 -4.78526 -37.543
0.14997 -6.39244 -4.78425 -37.5311
0.149987 -6.39224 -4.7832 -37.5186
0.150004 -6.39235 -4.78284 -37.5114
0.15002 -6.39234 -4.7824 -37.5041
0.150033 -6.39265 -4.78267 -37.5028
0.150044 -6.39272 -4.78265 -37.5
0.15005 -6.39269 -4.78259 -37.4979
0.150053 -6.39273 -4.78275 -37.4984
0.155042 -6.38547 -4.77899 -36.2634
0.155014 -6.38555 -4.77916 -36.2711
0.154986 -6.38552 -4.77907 -36.2771
0.154959 -6.38546 -4.77891 -36.2822
0.154936 -6.38536 -4.77867 -36.2856
0.154919 -6.3853 -4.7785 -36.2885
0.154907 -6.38509 -4.77811 -36.2882
0.154902 -6.38485 -4.77774 -36.2865
0.154904 -6.38463 -4.77748 -36.2841
0.154911 -6.3845 -4.77748 -36.2824
0.154924 -6.38433 -4.77752 -36.2799
0.154941 -6.38416 -4.77769 -36.2772
0.154961 -6.38402 -4.77803 -36.275
0.154981 -6.38388 -4.7785 -36.2738
0.155002 -6.38389 -4.77932 -36.2753
0.155022 -6.38382 -4.78009 -36.2765
0.155039 -6.38398 -4.78134 -36.2818
0.155053 -6.38403 -4.78241 -36.2868
0.155061 -6.38414 -4.78362 -36.2941
0.155063 -6.38433 -4.78492 -36.3033
0.15506 -6.38431 -4.78582 -36.3109
0.155053 -6.3844 -4.78683 -36.3203
0.155041 -6.38444 -4.78765 -36.3293
0.155025 -6.38458 -4.78851 -36.3396
0.155007 -6.38458 -4.78901 -36.3475
0.15499 -6.38453 -4.78928 -36.3537
0.154973 -6.38448 -4.78941 -36.3585
0.154959 -6.38446 -4.78946 -36.3623
0.154948 -6.38439 -4.78931 -36.3638
0.15494 -6.38443 -4.78922 -36.365
0.154935 -6.38445 -4.78901 -36.3644
0.154935 -6.3843 -4.78842 -36.3601
0.154935 -6.38441 -4.78819 -36.3582
0.154935 -6.38418 -4.7873 -36.3514
0.154935 -6.38406 -4.78653 -36.3455
0.154933 -6.38395 -4.78567 -36.3395
0.154928 -6.384 -4.78499 -36.3356
0.154919 -6.38384 -4.78385 -36.329
0.154906 -6.38381 -4.78281 -36.3241
0.15489 -6.38361 -4.78136 -36.3171
0.154869 -6.38348 -4.7799 -36.3107
0.154846 -6.38319 -4.77802 -36.3018
0.154822 -6.38296 -4.77612 -36.2931
0.154798 -6.38253 -4.77376 -36.2808
0.154776 -6.3823 -4.77165 -36.2698
0.154758 -6.38185 -4.7691 -36.2546
0.154746 -6.38162 -4.76687 -36.2407
0.154739 -6.38129 -4.76447 -36.224
0.15474 -6.38071 -4.76167 -36.2025
0.154748 -6.38027 -4.75914 -36.1814
0.159746 -6.37238 -4.75241 -34.9998
0.159742 -6.37201 -4.74992 -34.9824
0.159744 -6.37163 -4.74738 -34.9632
0.159751 -6.37132 -4.74497 -34.9438
0.159761 -6.37115 -4.74281 -34.9258
0.159772 -6.37089 -4.7405 -34.9064
0.159781 -6.37072 -4.73836 -34.8887
0.159786 -6.37028 -4.73575 -34.8683
0.159786 -6.37001 -4.73341 -34.8511
0.159779 -6.36977 -4.73106 -34.8352
0.159767 -6.36927 -4.72819 -34.8168
0.159748 -6.36884 -4.72536 -34.8
0.159725 -6.36853 -4.7226 -34.7848
0.159698 -6.36813 -4.7196 -34.7686
0.159668 -6.3677 -4.71642 -34.7517
0.159636 -6.36716 -4.71295 -34.7331
0.159606 -6.36677 -4.70964 -34.7151
0.159581 -6.36616 -4.70591 -34.6932
0.159562 -6.36542 -4.70195 -34.668
0.159552 -6.36464 -4.69797 -34.6408
0.15955 -6.36397 -4.69424 -34.6137
0.159559 -6.36324 -4.69055 -34.5847
0.159579 -6.3626 -4.68722 -34.5557
0.159613 -6.36225 -4.68468 -34.5296
0.159662 -6.36171 -4.68215 -34.5004
0.159726 -6.36108 -4.67992 -34.4703
0.159805 -6.36075 -4.67866 -34.4439
0.159899 -6.36034 -4.67784 -34.4176
0.160008 -6.36015 -4.67801 -34.3955
0.160128 -6.36031 -4.67942 -34.3801
0.160254 -6.36063 -4.68178 -34.3704
0.160382 -6.36105 -4.68497 -34.3663
0.160508 -6.3618 -4.68935 -34.3715
0.160625 -6.36267 -4.69453 -34.3844
0.160728 -6.36374 -4.70054 -34.4063
0.160813 -6.36481 -4.70696 -34.435
