Time nR nF
7.23 79.1934 5.15061
7.24 79.495 5.12019
7.25 79.7978 5.09
7.26 80.1019 5.06005
7.27 80.4072 5.03034
7.28 80.7138 5.00086
7.29 81.0216 4.9716
7.3 81.3307 4.94258
7.31 81.6411 4.91378
7.32 81.9528 4.88521
7.33 82.2657 4.85686
7.34 82.58 4.82873
7.35 82.8955 4.80082
7.36 83.2123 4.77313
7.37 83.5304 4.74566
7.38 83.8499 4.7184
7.39 84.1706 4.69135
7.4 84.4927 4.66451
7.41 84.8161 4.63789
7.42 85.1408 4.61147
7.43 85.4668 4.58525
7.44 85.7942 4.55925
7.45 86.1229 4.53344
7.46 86.453 4.50784
7.47 86.7844 4.48244
7.48 87.1172 4.45723
7.49 87.4513 4.43222
7.5 87.7868 4.40741
7.51 88.1237 4.38279
7.52 88.462 4.35837
7.53 88.8016 4.33413
7.54 89.1427 4.31009
7.55 89.4851 4.28623
7.56 89.8289 4.26256
7.57 90.1741 4.23907
7.58 90.5208 4.21577
7.59 90.8689 4.19265
7.6 91.2183 4.16971
7.61 91.5692 4.14695
7.62 91.9216 4.12437
7.63 92.2754 4.10197
7.64 92.6306 4.07974
7.65 92.9873 4.05768
7.66 93.3454 4.0358
7.67 93.705 4.01409
7.68 94.066 3.99255
7.69 94.4285 3.97118
7.7 94.7925 3.94998
7.71 95.158 3.92894
7.72 95.525 3.90807
7.73 95.8935 3.88736
7.74 96.2634 3.86682
7.75 96.6349 3.84643
7.76 97.0079 3.82621
7.77 97.3824 3.80614
7.78 97.7584 3.78624
7.79 98.1359 3.76649
7.8 98.515 3.74689
7.81 98.8957 3.72745
7.82 99.2778 3.70817
7.83 99.6616 3.68903
7.84 100.047 3.67005
7.85 100.434 3.65122
7.86 100.822 3.63253
7.87 101.212 3.61399
7.88 101.604 3.5956
7.89 101.997 3.57736
7.9 102.392 3.55926
7.91 102.788 3.5413
7.92 103.186 3.52348
7.93 103.586 3.50581
7.94 103.987 3.48827
7.95 104.39 3.47088
7.96 104.794 3.45362
7.97 105.2 3.4365
7.98 105.608 3.41952
7.99 106.017 3.40267
8 106.428 3.38595
8.01 106.841 3.36937
8.02 107.255 3.35292
8.03 107.672 3.33661
8.04 108.089 3.32042
8.05 108.509 3.30436
8.06 108.93 3.28843
8.07 109.353 3.27263
8.08 109.777 3.25695
8.09 110.204 3.2414
8.1 110.632 3.22598
8.11 111.061 3.21068
8.12 111.493 3.1955
8.13 111.926 3.18044
8.14 112.361 3.16551
8.15 112.798 3.15069
8.16 113.236 3.136
8.17 113.676 3.12142
8.18 114.118 3.10697
8.19 114.562 3.09262
8.2 115.008 3.0784
8.21 115.455 3.06429
8.22 115.904 3.0503
8.23 116.355 3.03641
8.24 116.808 3.02265
8.25 117.263 3.00899
8.26 117.719 2.99545
8.27 118.178 2.98201
8.28 118.638 2.96869
8.29 119.1 2.95548
8.3 119.564 2.94237
8.31 120.029 2.92937
8.32 120.497 2.91648
8.33 120.967 2.9037
8.34 121.438 2.89102
8.35 121.911 2.87845
8.36 122.387 2.86597
8.37 122.864 2.85361
8.38 123.343 2.84134
8.39 123.824 2.82918
8.4 124.307 2.81712
8.41 124.791 2.80516
8.42 125.278 2.7933
