Time N1 N2 N3
18.1 48.514 8.1797 20.2653
18.15 47.784 8.25267 20.3307
18.2 47.0668 8.30849 20.3975
18.25 46.3659 8.34704 20.4655
18.3 45.6844 8.36843 20.5344
18.35 45.0251 8.37293 20.6037
18.4 44.3905 8.36097 20.6733
18.45 43.7828 8.33319 20.7426
18.5 43.2039 8.29032 20.8114
18.55 42.6554 8.23323 20.8794
18.6 42.1384 8.16289 20.9463
18.65 41.6541 8.08036 21.0119
18.7 41.2032 7.98673 21.0757
18.75 40.7861 7.88314 21.1377
18.8 40.4031 7.77076 21.1975
18.85 40.0544 7.65072 21.2551
18.9 39.7397 7.52417 21.3102
18.95 39.4589 7.39223 21.3626
19 39.2115 7.25595 21.4123
19.05 38.9971 7.11636 21.4592
19.1 38.8151 6.97441 21.5031
19.15 38.6647 6.831 21.5441
19.2 38.5451 6.68697 21.582
19.25 38.4557 6.54307 21.6169
19.3 38.3954 6.40001 21.6487
19.35 38.3634 6.25841 21.6775
19.4 38.3587 6.11882 21.7033
19.45 38.3805 5.98175 21.7261
19.5 38.4276 5.84763 21.746
19.55 38.4991 5.71684 21.763
19.6 38.594 5.5897 21.7772
19.65 38.7114 5.46649 21.7887
19.7 38.8501 5.34744 21.7976
19.75 39.0092 5.23273 21.8039
19.8 39.1877 5.12252 21.8077
19.85 39.3846 5.01691 21.8093
19.9 39.5988 4.916 21.8085
19.95 39.8294 4.81984 21.8056
20 40.0753 4.72847 21.8007
20.05 40.3356 4.64191 21.7938
20.1 40.6093 4.56015 21.7851
20.15 40.8953 4.48318 21.7747
20.2 41.1926 4.41098 21.7626
20.25 41.5004 4.3435 21.7491
20.3 41.8175 4.28071 21.7341
20.35 42.143 4.22254 21.7179
20.4 42.4759 4.16894 21.7004
20.45 42.8152 4.11986 21.6818
20.5 43.16 4.07523 21.6623
20.55 43.5093 4.03498 21.6418
20.6 43.862 3.99906 21.6205
20.65 44.2172 3.9674 21.5985
20.7 44.5739 3.93993 21.5759
20.75 44.9313 3.91659 21.5528
20.8 45.2882 3.89733 21.5293
20.85 45.6437 3.88207 21.5054
20.9 45.9969 3.87077 21.4812
20.95 46.3469 3.86337 21.4569
21 46.6927 3.8598 21.4325
21.05 47.0334 3.86003 21.408
21.1 47.3681 3.86398 21.3837
21.15 47.6959 3.87162 21.3595
21.2 48.0159 3.88288 21.3355
21.25 48.3273 3.89771 21.3118
21.3 48.6292 3.91606 21.2885
21.35 48.9208 3.93787 21.2657
21.4 49.2013 3.96308 21.2434
21.45 49.47 3.99164 21.2217
21.5 49.7262 4.02347 21.2006
21.55 49.969 4.0585 21.1803
21.6 50.198 4.09667 21.1608
21.65 50.4123 4.13788 21.1421
21.7 50.6116 4.18204 21.1243
21.75 50.7952 4.22907 21.1075
21.8 50.9626 4.27885 21.0918
21.85 51.1135 4.33128 21.0771
