Time nR nF
7.51 138.507 6.20138
7.52 139.028 6.18002
7.53 139.551 6.15887
7.54 140.075 6.13792
7.55 140.602 6.11717
7.56 141.131 6.09662
7.57 141.663 6.07627
7.58 142.196 6.05611
7.59 142.731 6.03615
7.6 143.269 6.01638
7.61 143.808 5.99681
7.62 144.35 5.97743
7.63 144.894 5.95824
7.64 145.44 5.93925
7.65 145.989 5.92044
7.66 146.539 5.90182
7.67 147.092 5.88339
7.68 147.647 5.86515
7.69 148.204 5.8471
7.7 148.763 5.82923
7.71 149.324 5.81155
7.72 149.888 5.79405
7.73 150.454 5.77673
7.74 151.022 5.7596
7.75 151.593 5.74264
7.76 152.165 5.72587
7.77 152.74 5.70928
7.78 153.317 5.69287
7.79 153.897 5.67663
7.8 154.479 5.66058
7.81 155.063 5.6447
7.82 155.649 5.62899
7.83 156.238 5.61347
7.84 156.829 5.59812
7.85 157.422 5.58294
7.86 158.018 5.56793
7.87 158.616 5.5531
7.88 159.217 5.53844
7.89 159.819 5.52395
7.9 160.424 5.50964
7.91 161.032 5.49549
7.92 161.642 5.48151
7.93 162.254 5.46771
7.94 162.869 5.45407
7.95 163.486 5.4406
7.96 164.106 5.42729
7.97 164.728 5.41416
7.98 165.352 5.40119
7.99 165.979 5.38838
8 166.608 5.37574
8.01 167.24 5.36327
8.02 167.875 5.35096
8.03 168.511 5.33882
8.04 169.151 5.32684
8.05 169.793 5.31502
8.06 170.437 5.30336
8.07 171.084 5.29187
8.08 171.733 5.28054
8.09 172.385 5.26937
8.1 173.04 5.25836
8.11 173.697 5.24751
8.12 174.356 5.23682
8.13 175.018 5.22629
8.14 175.683 5.21592
8.15 176.351 5.20571
8.16 177.021 5.19566
8.17 177.693 5.18577
8.18 178.368 5.17603
8.19 179.046 5.16646
8.2 179.727 5.15704
8.21 180.41 5.14778
8.22 181.096 5.13868
8.23 181.784 5.12973
8.24 182.475 5.12094
8.25 183.169 5.11231
8.26 183.866 5.10383
8.27 184.565 5.09552
8.28 185.267 5.08735
8.29 185.972 5.07934
8.3 186.679 5.07149
8.31 187.39 5.0638
8.32 188.103 5.05626
