Time nR nF
5.8 38.6142 11.0616
5.81 38.7444 10.9795
5.82 38.8752 10.898
5.83 39.0064 10.8172
5.84 39.1382 10.7371
5.85 39.2706 10.6576
5.86 39.4035 10.5787
5.87 39.5369 10.5005
5.88 39.6709 10.4229
5.89 39.8055 10.346
5.9 39.9406 10.2696
5.91 40.0763 10.1939
5.92 40.2125 10.1188
5.93 40.3492 10.0443
5.94 40.4866 9.97046
5.95 40.6244 9.89717
5.96 40.7629 9.82447
5.97 40.9019 9.75236
5.98 41.0415 9.68084
5.99 41.1816 9.60989
6 41.3223 9.53952
6.01 41.4636 9.46971
6.02 41.6054 9.40047
6.03 41.7478 9.33179
6.04 41.8908 9.26367
6.05 42.0343 9.19609
6.06 42.1785 9.12906
6.07 42.3232 9.06257
6.08 42.4685 8.99662
6.09 42.6143 8.9312
6.1 42.7608 8.8663
6.11 42.9078 8.80193
6.12 43.0554 8.73808
6.13 43.2036 8.67474
6.14 43.3524 8.61191
6.15 43.5018 8.54959
6.16 43.6517 8.48777
6.17 43.8023 8.42645
6.18 43.9534 8.36562
6.19 44.1052 8.30529
6.2 44.2575 8.24543
6.21 44.4104 8.18606
6.22 44.564 8.12717
6.23 44.7181 8.06874
6.24 44.8729 8.01079
6.25 45.0282 7.95331
6.26 45.1842 7.89628
6.27 45.3407 7.83972
6.28 45.4979 7.7836
6.29 45.6557 7.72794
6.3 45.8141 7.67272
6.31 45.9731 7.61795
6.32 46.1327 7.56362
6.33 46.293 7.50972
6.34 46.4538 7.45625
6.35 46.6153 7.40322
6.36 46.7774 7.3506
6.37 46.9401 7.29841
6.38 47.1035 7.24664
6.39 47.2675 7.19528
6.4 47.4321 7.14433
6.41 47.5973 7.09379
6.42 47.7632 7.04365
6.43 47.9297 6.99392
6.44 48.0968 6.94458
6.45 48.2646 6.89563
6.46 48.433 6.84708
6.47 48.6021 6.79891
6.48 48.7718 6.75113
6.49 48.9421 6.70373
6.5 49.1131 6.65671
6.51 49.2848 6.61007
6.52 49.4571 6.56379
6.53 49.63 6.51789
6.54 49.8036 6.47235
6.55 49.9778 6.42717
6.56 50.1527 6.38236
6.57 50.3283 6.3379
