Time nR nF
9.62 679.842 768.746
9.63 677.345 767.046
9.64 674.869 765.33
9.65 672.414 763.6
9.66 669.979 761.855
9.67 667.565 760.095
9.68 665.172 758.321
9.69 662.798 756.534
9.7 660.445 754.732
9.71 658.113 752.918
9.72 655.8 751.09
9.73 653.508 749.249
9.74 651.235 747.396
9.75 648.983 745.531
9.76 646.75 743.654
9.77 644.538 741.765
9.78 642.345 739.864
9.79 640.172 737.952
9.8 638.018 736.029
9.81 635.884 734.096
9.82 633.769 732.152
9.83 631.674 730.197
9.84 629.597 728.233
9.85 627.54 726.259
9.86 625.503 724.276
9.87 623.484 722.283
9.88 621.484 720.281
9.89 619.503 718.271
9.9 617.54 716.252
9.91 615.597 714.225
9.92 613.672 712.189
9.93 611.765 710.146
9.94 609.877 708.096
9.95 608.007 706.038
9.96 606.155 703.973
9.97 604.322 701.901
9.98 602.506 699.822
9.99 600.709 697.737
10 598.929 695.645
10.01 597.167 693.548
10.02 595.423 691.445
10.03 593.697 689.336
10.04 591.988 687.222
10.05 590.296 685.103
10.06 588.622 682.979
10.07 586.965 680.85
10.08 585.325 678.716
10.09 583.702 676.578
10.1 582.096 674.436
10.11 580.507 672.29
10.12 578.935 670.14
10.13 577.379 667.987
10.14 575.84 665.83
10.15 574.317 663.67
10.16 572.811 661.507
10.17 571.322 659.342
10.18 569.848 657.173
10.19 568.391 655.002
10.2 566.949 652.829
10.21 565.524 650.654
10.22 564.114 648.477
10.23 562.72 646.298
10.24 561.342 644.117
10.25 559.98 641.935
10.26 558.633 639.752
10.27 557.301 637.567
10.28 555.985 635.382
10.29 554.683 633.196
10.3 553.398 631.009
10.31 552.127 628.822
10.32 550.871 626.634
10.33 549.63 624.446
10.34 548.403 622.258
10.35 547.192 620.07
10.36 545.995 617.883
10.37 544.813 615.696
10.38 543.645 613.509
10.39 542.491 611.323
10.4 541.352 609.138
10.41 540.227 606.954
10.42 539.116 604.771
10.43 538.019 602.589
10.44 536.936 600.408
10.45 535.867 598.229
10.46 534.811 596.052
10.47 533.77 593.876
10.48 532.742 591.702
10.49 531.727 589.53
10.5 530.726 587.36
10.51 529.738 585.192
10.52 528.764 583.026
10.53 527.803 580.863
10.54 526.855 578.702
10.55 525.92 576.544
10.56 524.998 574.389
10.57 524.089 572.236
10.58 523.192 570.087
